month,model_price,min_price,max_price,year,Commodity
1,1533,1000,2000,2012,Ginger
2,1500,1000,2000,2012,Ginger
3,1544,1000,2800,2012,Ginger
4,2033,1200,2500,2012,Ginger
5,1987,1500,2500,2012,Ginger
6,2200,1500,2500,2012,Ginger
7,3054,2400,3600,2012,Ginger
8,3485,2600,4300,2012,Ginger
9,3500,3000,4000,2012,Ginger
10,3600,3200,4000,2012,Ginger
11,3757,3200,4000,2012,Ginger
12,3562,3300,3800,2012,Ginger
1,3840,3500,4000,2013,Ginger
2,3671,3200,4000,2013,Ginger
3,4300,3200,5500,2013,Ginger
4,6420,5000,7900,2013,Ginger
5,11144,7000,13500,2013,Ginger
6,12312,11000,13000,2013,Ginger
7,13761,12000,15500,2013,Ginger
8,14388,12000,18000,2013,Ginger
9,7887,5000,13000,2013,Ginger
10,6450,5000,9000,2013,Ginger
11,5966,5000,7000,2013,Ginger
12,6564,5800,7500,2013,Ginger
1,6747,6300,7200,2014,Ginger
2,6822,6300,7800,2014,Ginger
3,8354,6400,11500,2014,Ginger
4,10369,9000,11000,2014,Ginger
5,9788,8300,11000,2014,Ginger
6,8395,7600,8600,2014,Ginger
7,10255,8800,11500,2014,Ginger
8,9520,8700,10000,2014,Ginger
9,10086,8800,11500,2014,Ginger
10,4964,3800,9000,2014,Ginger
11,3805,3500,4000,2014,Ginger
12,3890,3600,4000,2014,Ginger
1,3739,3200,4000,2015,Ginger
2,4327,3800,5000,2015,Ginger
3,4890,4700,5000,2015,Ginger
4,4900,4800,5000,2015,Ginger
5,5547,4800,6500,2015,Ginger
6,7881,5800,9200,2015,Ginger
7,6865,5800,8200,2015,Ginger
8,6558,5800,7000,2015,Ginger
9,7768,6800,8500,2015,Ginger
10,5669,4000,8000,2015,Ginger
11,4626,4000,6000,2015,Ginger
12,4447,3800,5000,2015,Ginger
1,4032,3500,5000,2016,Ginger
2,3619,3300,4000,2016,Ginger
3,3757,3500,4000,2016,Ginger
4,3844,3500,4200,2016,Ginger
5,4059,3700,6500,2016,Ginger
6,6006,5300,6600,2016,Ginger
7,5250,4300,6000,2016,Ginger
8,5533,4800,6500,2016,Ginger
9,5719,5400,6000,2016,Ginger
10,5121,4500,6000,2016,Ginger
11,4697,3200,5200,2016,Ginger
12,2947,2800,3200,2016,Ginger
1,2860,2500,3000,2017,Ginger
2,2814,2500,3000,2017,Ginger
3,2758,2500,3000,2017,Ginger
4,3083,2800,3500,2017,Ginger
5,3100,3000,3200,2017,Ginger
6,3760,3000,4500,2017,Ginger
7,4539,4000,4800,2017,Ginger
8,4845,4400,5800,2017,Ginger
9,5190,5000,5500,2017,Ginger
10,5171,4400,6500,2017,Ginger
11,4362,4000,5000,2017,Ginger
12,3887,3000,4500,2017,Ginger
1,2944,2800,3200,2018,Ginger
2,2927,2800,3000,2018,Ginger
3,3550,2800,4500,2018,Ginger
4,4345,4000,4500,2018,Ginger
5,6569,6000,7500,2018,Ginger
6,5883,5500,6000,2018,Ginger
7,7070,5500,8500,2018,Ginger
8,7004,4800,8500,2018,Ginger
9,6360,5800,7000,2018,Ginger
10,7344,6500,8000,2018,Ginger
11,6678,6000,7600,2018,Ginger
12,6461,6000,7500,2018,Ginger
1,8026,6800,8500,2019,Ginger
2,7890,7500,8500,2019,Ginger
3,7817,6000,8500,2019,Ginger
4,8685,8000,10000,2019,Ginger
5,11252,9000,13000,2019,Ginger
6,13021,11500,14000,2019,Ginger
7,13491,8500,19000,2019,Ginger
8,16023,11000,20000,2019,Ginger
9,14672,11000,17500,2019,Ginger
10,9861,8500,12000,2019,Ginger
11,7142,5500,8200,2019,Ginger
